"","structure","correlation","num_dim","replicate","factor","pearson","spearman","theta_cor"
"190","Simple",0.6,3,10,"F3",0.979,0.995,0.8398
"191","Simple",0.6,5,1,"F1",0.9779,0.9887,0.7816
"192","Simple",0.6,5,1,"F2",0.9791,0.9922,0.8091
"193","Simple",0.6,5,1,"F3",0.9812,0.9937,0.8093
"194","Simple",0.6,5,1,"F4",0.9715,0.9816,0.7667
"195","Simple",0.6,5,1,"F5",0.9785,0.9913,0.7971
"196","Simple",0.6,5,2,"F1",0.9702,0.9817,0.7647
"197","Simple",0.6,5,2,"F2",0.9749,0.9855,0.7787
"198","Simple",0.6,5,2,"F3",0.9792,0.9925,0.8309
"199","Simple",0.6,5,2,"F4",0.9796,0.995,0.8358
"200","Simple",0.6,5,2,"F5",0.9819,0.9947,0.8258
"201","Simple",0.6,5,3,"F1",0.9784,0.9908,0.8002
"202","Simple",0.6,5,3,"F2",0.9808,0.9893,0.7826
"203","Simple",0.6,5,3,"F3",0.9818,0.9955,0.8276
"204","Simple",0.6,5,3,"F4",0.9804,0.9909,0.7896
"205","Simple",0.6,5,3,"F5",0.9772,0.9897,0.7731
"206","Simple",0.6,5,4,"F1",0.9785,0.9928,0.8237
"207","Simple",0.6,5,4,"F2",0.9766,0.9892,0.8114
"208","Simple",0.6,5,4,"F3",0.9782,0.9963,0.8563
"209","Simple",0.6,5,4,"F4",0.9774,0.9927,0.8326
"210","Simple",0.6,5,4,"F5",0.9758,0.9885,0.8006
"211","Simple",0.6,5,5,"F1",0.9738,0.9846,0.772
"212","Simple",0.6,5,5,"F2",0.9807,0.9937,0.8251
"213","Simple",0.6,5,5,"F3",0.9785,0.9891,0.7934
"214","Simple",0.6,5,5,"F4",0.9802,0.9942,0.8142
"215","Simple",0.6,5,5,"F5",0.9766,0.9887,0.8063
"216","Simple",0.6,5,6,"F1",0.9743,0.9878,0.8116
"217","Simple",0.6,5,6,"F2",0.9772,0.9912,0.7987
"218","Simple",0.6,5,6,"F3",0.9792,0.9923,0.8268
"219","Simple",0.6,5,6,"F4",0.9795,0.9947,0.8393
"220","Simple",0.6,5,6,"F5",0.9806,0.9914,0.7845
"221","Simple",0.6,5,7,"F1",0.9804,0.989,0.7863
"222","Simple",0.6,5,7,"F2",0.9833,0.9933,0.8011
"223","Simple",0.6,5,7,"F3",0.9809,0.9871,0.7682
"224","Simple",0.6,5,7,"F4",0.9825,0.9919,0.7774
"225","Simple",0.6,5,7,"F5",0.9797,0.9911,0.7811
"226","Simple",0.6,5,8,"F1",0.978,0.9933,0.83
"227","Simple",0.6,5,8,"F2",0.9805,0.9918,0.8216
"228","Simple",0.6,5,8,"F3",0.9766,0.988,0.8137
"229","Simple",0.6,5,8,"F4",0.9748,0.986,0.7749
"230","Simple",0.6,5,8,"F5",0.9778,0.9922,0.8284
"231","Simple",0.6,5,9,"F1",0.9798,0.9929,0.8165
"232","Simple",0.6,5,9,"F2",0.9789,0.9935,0.8358
"233","Simple",0.6,5,9,"F3",0.9786,0.9915,0.8066
"234","Simple",0.6,5,9,"F4",0.9777,0.9882,0.7874
"235","Simple",0.6,5,9,"F5",0.9788,0.9929,0.8368
